player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ted Larsen,5728,G,CHI,11,100.0,0,6,73.0,70.2,74.9,1,12,321,100.0,100.0,97.4,7,15,2,581,2,1,0,581,345,345,578,0,236,0
Jason Witten,1384,TE,DAL,17,53.5,0,9,68.8,57.4,63.9,1,5,84,15.1,14.9,94.0,5,8,2,580,0,0,0,1084,88,592,0,0,492,730
Jared Veldheer,5594,T,ARZ,8,100.0,2,1,76.5,78.0,71.8,3,17,338,100.0,100.0,96.7,4,21,1,578,0,0,577,578,364,364,0,0,214,0
Martellus Bennett,4375,TE,NE,19,53.8,1,19,75.5,72.1,60.5,0,4,103,18.2,19.4,97.1,6,5,1,574,0,0,0,1066,118,608,0,0,456,710
Eric Wood,4951,C,BUF,9,100.0,1,4,61.5,65.2,59.4,5,16,315,100.0,100.0,96.7,5,21,0,570,570,0,0,570,344,344,0,0,226,0
Vladimir Ducasse,5586,G,BLT,9,100.0,1,3,63.1,62.7,61.1,2,20,355,100.0,100.0,96.3,6,24,2,555,0,2,0,555,375,375,552,0,180,0
Ryan Groy,9221,C,BUF,16,99.8,0,4,74.8,80.3,70.7,2,6,275,99.6,99.7,98.5,1,8,0,539,493,4,1,540,291,292,0,0,248,41
Alex Lewis,10764,G,BLT,9,99.8,0,3,60.2,66.8,58.0,8,20,334,99.7,99.7,95.5,4,29,1,538,0,318,214,539,362,363,0,0,176,5
Ryan Clady,4326,T,NYJ,8,100.0,1,22,65.8,69.8,60.7,8,24,316,100.0,100.0,94.3,6,34,2,537,0,0,537,537,334,334,0,0,203,0
Jesse James,9593,TE,PIT,19,51.7,0,25,64.8,64.2,73.7,1,3,82,14.9,15.1,96.3,3,5,1,530,0,0,0,1026,88,584,0,0,442,793
Marshall Newhouse,5692,T,NYG,11,100.0,0,21,65.6,70.6,63.4,3,8,292,100.0,100.0,97.1,5,14,3,524,0,247,0,524,310,310,0,258,214,19
Ryan Kalil,3675,C,CAR,8,100.0,1,5,71.9,78.6,67.9,2,3,284,100.0,100.0,98.8,3,6,1,504,504,0,0,504,310,310,0,0,194,0
DeAndre Hopkins,7808,WR,HST,18,40.2,0,13,77.8,,76.6,0,0,0,0.0,0.0,,7,0,0,492,0,0,0,1224,0,732,0,0,492,1
J.C. Tretter,7904,C,GB,7,100.0,0,12,78.2,82.5,76.8,1,5,307,100.0,100.0,98.4,2,8,2,488,488,0,0,488,334,334,0,0,154,0
Andrew Tiller,7169,G,SF,8,100.0,1,28,66.1,67.9,64.9,1,12,264,100.0,100.0,96.8,3,15,2,485,0,177,0,485,272,272,308,0,213,0
Levine Toilolo,7915,TE,ATL,19,67.9,0,2,66.1,66.6,65.4,1,9,110,33.7,33.9,94.5,2,11,1,477,0,0,0,703,116,342,0,0,361,634
Greg Olsen,3647,TE,CAR,16,46.1,1,5,83.4,72.3,60.3,2,3,71,12.2,11.9,96.5,3,5,0,475,0,0,25,1030,75,630,0,6,400,328
Jermaine Gresham,5546,TE,ARZ,16,56.6,0,1,63.8,49.3,66.5,5,5,109,24.8,24.9,93.6,10,12,2,473,0,0,0,835,120,482,0,0,353,746
Dak Prescott,10769,QB,DAL,17,42.7,0,9,83.7,60.9,60.0,0,0,1,0.2,0.2,100.0,2,0,0,461,0,0,0,1079,1,588,0,0,460,0
Patrick Omameh,8277,G,JAX,8,100.0,1,15,73.1,79.4,64.1,1,12,307,100.0,100.0,97.9,3,13,0,454,0,426,22,454,332,332,0,0,122,6
Jonotthan Harrison,9132,G,IND,12,100.0,0,14,53.1,38.5,57.9,8,19,263,100.0,100.0,94.5,2,28,1,453,71,303,0,453,289,289,76,0,164,2
Kraig Urbik,5002,C,MIA,11,100.0,0,17,59.8,61.2,57.4,3,5,255,100.0,100.0,98.4,0,8,0,453,308,135,0,453,267,267,8,0,186,2
Matt Ryan,4317,QB,ATL,19,37.1,0,2,92.2,,60.2,0,0,0,0.0,0.0,,1,0,0,449,0,0,0,1211,0,738,0,0,449,0
Lance Kendricks,6199,TE,LA,16,54.0,0,26,63.7,68.6,61.8,3,6,119,25.1,24.7,95.4,2,10,1,448,0,0,0,829,125,506,0,4,323,584
Antonio Brown,5718,WR,PIT,18,38.4,3,25,88.4,,68.7,0,0,0,0.0,0.0,,9,0,0,446,0,0,0,1162,0,713,0,0,446,1
