player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Shelby Harris,8869,DI,CLV,18,7,5,,0,1,8,0,0,59.8,70.8,16.9,75.3,68.8,43.1,2,18,0,0,,12.9,4,0,5,0.0,0,2,0,1,0,6,462,461,15,412,4,30,0,1,253,203,0,18,20,7,0,22,0,0,0,
Denico Autry,8982,ED,TEN,17,14,4,100.0,2,1,31,0,0,68.7,61.7,54.2,66.0,52.0,38.8,5,36,0,0,7,24.4,11,0,4,91.7,2,12,0,1,0,10,767,766,1,48,494,223,0,1,499,258,0,28,20,4,2,53,0,12,7,6.0
Shaquil Barrett,9000,ED,TB,18,17,1,94.1,0,3,30,0,0,42.9,73.1,35.9,82.6,68.9,64.4,8,43,1,1,15,10.9,6,0,5,73.3,16,5,0,27,1,99,746,710,0,0,708,2,0,36,405,242,8,21,32,2,17,56,0,127,105,7.9
Kerry Hyder Jr.,9045,ED,HST,6,1,0,,0,0,13,0,0,60.0,60.3,83.9,62.0,52.7,74.5,0,3,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,99,99,0,3,95,1,0,0,67,32,0,2,2,1,0,4,0,0,0,
Adrian Phillips,9177,S,NE,13,3,0,80.0,0,0,19,0,0,45.3,46.5,79.2,39.5,64.3,28.3,0,1,0,0,29,27.8,5,0,0,110.0,4,0,0,86,5,83,139,14,0,0,14,0,15,125,11,45,18,4,10,0,5,1,0,52,19,13.0
C.J. Goodwin,9243,CB,DAL,2,1,0,100.0,0,0,9,0,0,69.3,69.2,82.1,,60.0,75.4,0,0,0,0,-3,0.0,0,0,0,79.2,1,0,0,0,16,14,17,0,0,0,0,0,0,17,0,3,0,0,1,0,1,0,0,-3,2,-3.0
Daniel Sorensen,9253,S,NO,2,0,0,100.0,0,0,20,0,0,47.7,46.4,70.8,,60.0,22.6,0,0,0,0,8,100.0,1,0,0,100.0,1,0,0,1,1,6,9,3,0,0,3,0,4,6,0,3,0,0,0,0,1,0,0,8,8,8.0
Keith Smith,9302,FB,ATL,1,0,0,,0,0,2,0,0,,61.6,60.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Mike Pennel,9316,DI,KC,7,5,0,,0,0,16,0,0,51.0,60.5,82.1,52.8,67.3,60.2,0,1,0,0,,6.3,1,0,0,0.0,0,0,0,0,0,2,160,160,17,143,0,0,0,0,80,78,0,9,10,2,0,1,0,0,0,
Dante Fowler Jr.,9436,ED,DAL,18,1,0,100.0,1,1,9,0,0,64.3,63.8,0.0,69.9,62.0,32.0,2,29,0,0,6,20.0,2,0,5,91.7,1,5,0,2,0,4,275,272,1,2,259,10,0,3,206,65,0,9,7,2,1,36,0,6,1,6.0
Leonard Williams,9439,DI,SEA,18,18,1,,2,0,29,0,0,69.0,76.2,46.4,76.2,68.5,37.8,11,37,0,0,,11.1,7,0,5,0.0,0,6,0,0,0,1,884,884,50,684,22,128,0,0,502,381,0,34,38,4,0,54,0,0,0,
Arik Armstead,9450,DI,SF,15,9,0,,0,0,28,1,0,71.3,78.4,55.1,86.5,52.7,49.1,7,43,0,0,,9.1,3,0,3,0.0,0,8,0,1,0,1,661,660,2,445,11,202,0,1,461,199,0,18,21,1,0,58,0,0,0,
