player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Christian McCaffrey,11763,HB,CAR,16,14.3,1,5,86.5,75.5,62.8,0,3,102,15.2,15.0,97.5,1,4,1,149,0,0,0,1039,105,699,0,0,44,0
Mark Andrews,47436,TE,BLT,15,32.6,1,3,90.8,57.3,66.6,0,1,4,1.3,1.6,87.5,2,1,0,149,0,0,2,457,5,313,0,2,144,165
Teddy Bridgewater,8667,QB,NO,9,36.8,0,20,73.4,,60.4,0,0,0,0.0,0.0,,2,0,0,147,0,0,0,400,0,237,0,0,147,0
Geron Christian,46375,T,WAS,10,100.0,0,32,63.0,72.0,53.1,1,4,77,100.0,100.0,95.5,1,6,1,146,0,0,53,146,84,84,0,80,62,13
Jamil Demby,31982,G,LA,3,100.0,0,26,26.4,3.2,43.9,2,12,85,100.0,100.0,88.2,2,17,3,146,0,42,0,146,89,89,104,0,57,0
Dede Westbrook,11865,WR,JAX,15,19.5,1,15,63.5,,52.0,0,0,0,0.0,0.0,,3,0,0,145,0,0,0,744,0,595,0,0,145,1
Josh Gordon,7618,WR,SEA,11,31.4,0,29,63.7,,53.5,0,0,0,0.0,0.0,,2,0,0,145,0,0,0,462,0,316,0,0,145,1
Todd Gurley II,9443,HB,LA,15,18.4,0,26,67.0,70.6,45.5,1,9,109,21.8,21.7,95.4,0,10,0,145,0,0,0,787,115,529,0,0,30,0
Fred Johnson,46951,T,CIN,5,98.6,0,7,62.6,78.4,57.8,0,0,75,97.4,97.6,100.0,2,0,0,144,0,0,129,146,82,84,0,0,62,17
Oday Aboushi,7923,G,DET,5,100.0,0,11,57.7,59.3,59.9,1,2,84,100.0,100.0,98.2,1,3,0,143,0,135,0,143,89,89,7,0,54,1
Ezekiel Elliott,10638,HB,DAL,16,15.3,0,9,77.0,50.8,71.2,1,11,95,17.0,17.9,93.7,3,12,0,143,0,0,0,937,106,591,0,0,37,0
