player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
J.J. Nelson,9592,WR,ARZ,15,17.7,4,50.7,100.0,1,1,0,15.0,6,26,1,1,37.2,30.1,69.5,,67.2,0.0,0,2,80,0.0,0,364,0,34,91.8,334,25.3,92,97.1,67,6,74.7,272,568,173,5.1,16.7,1.7
Allen Hurns,8931,WR,JAX,11,10.9,1,52.2,0.0,0,4,0,16.7,7,22,15,1,30.0,28.7,57.1,72.0,56.9,1.5,7,2,42,0.4,2,455,1,35,92.3,420,69.7,317,77.8,67,3,28.6,130,477,205,5.9,13.6,1.14
John Brown,8726,WR,ARZ,15,14.6,2,59.1,44.4,4,9,0,2.5,1,28,1,0,90.1,53.7,71.4,,70.2,0.0,0,4,30,0.0,0,426,1,39,92.5,394,45.5,194,68.8,66,2,54.5,232,517,111,2.8,13.3,1.31
Cordarrelle Patterson,7810,WR,MIN,16,4.8,10,81.3,100.0,2,2,0,1.9,1,22,18,0,80.1,58.6,64.5,67.1,64.0,0.3,1,1,39,0.3,1,386,3,52,93.3,360,25.1,97,100.1,64,2,74.4,287,453,327,6.3,8.7,1.26
Breshad Perriman,9459,WR,BLT,16,14.3,2,51.6,50.0,2,4,0,13.2,5,19,3,0,36.1,77.4,64.2,,63.4,0.0,0,4,53,0.0,0,348,0,33,93.7,326,11.5,40,67.1,64,3,88.5,308,499,174,5.3,15.1,1.53
DeMarco Murray,6223,HB,TEN,16,0.4,4,82.8,100.0,3,3,0,1.9,1,20,31,0,87.6,69.2,69.5,83.6,70.4,1.2,6,0,35,23.0,117,508,3,53,69.9,355,4.5,23,106.8,64,3,3.1,16,377,364,6.9,7.1,1.06
Marquise Goodwin,7859,WR,BUF,15,15.9,2,46.0,50.0,1,2,1,9.4,3,20,4,0,68.1,76.6,62.3,,62.3,0.0,0,4,84,0.0,0,414,4,29,94.2,390,13.5,56,58.4,63,3,86.5,358,431,95,3.3,14.9,1.11
Darren Sproles,2347,HB,PHI,15,0.5,7,82.5,100.0,1,1,0,7.1,4,18,24,0,66.0,90.4,67.8,77.6,66.9,0.0,0,0,73,14.0,55,392,1,52,81.1,318,7.9,31,105.5,63,2,7.1,28,427,427,8.2,8.2,1.34
Tyler Lockett,9502,WR,SEA,15,11.3,1,66.1,0.0,0,1,0,6.8,3,22,29,0,69.3,90.0,68.9,,65.1,0.5,2,1,57,0.0,0,421,1,41,93.6,394,31.1,131,96.0,62,1,68.2,287,597,223,5.4,14.6,1.52
Corey Coleman,10649,WR,CLV,10,15.5,8,53.2,,0,0,1,10.8,4,17,8,0,51.9,77.5,61.7,,61.9,0.0,0,3,58,0.0,0,379,3,33,95.0,360,5.3,20,70.2,62,3,94.7,359,413,100,3.0,12.5,1.15
