player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0014375,35.0,MISSING,0.0,2010,Colts,0.06,58.80%,Jeff Saturday,C,100.0,0.0,14.0,83.9,87.8,79.1,2.0,6.0,723.0,100.0,100.0,99.4,5.0,8.0,0.0,1176.0,1176.0,0.0,0.0,1176.0,746.0,746.0,0.0,0.0,430.0,0.0,98666.4,83.22093726379441
00-0025872,25.0,MISSING,0.0,2010,Colts,0.06,58.80%,Kyle DeVan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026408,25.0,MISSING,0.0,2010,Colts,0.06,58.80%,Joe Reitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027857,22.0,MISSING,699.5394443058067,2010,Commanders,-0.12,37.50%,Trent Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023447,29.0,MISSING,241.10186640443797,2010,Commanders,-0.12,37.50%,Jammal Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026248,25.0,MISSING,86.88494786109887,2010,Commanders,-0.12,37.50%,Kory Lichtensteiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022132,29.0,MISSING,40.87877120092391,2010,Commanders,-0.12,37.50%,Derrick Dockery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020450,32.0,MISSING,19.429551341285716,2010,Commanders,-0.12,37.50%,Casey Rabach,C,100.0,0.0,32.0,65.3,74.2,57.8,4.0,14.0,619.0,100.0,100.0,98.4,3.0,19.0,1.0,971.0,971.0,0.0,0.0,971.0,652.0,652.0,0.0,0.0,319.0,0.0,63406.3,MISSING
00-0027821,23.0,MISSING,19.19008516886931,2010,Commanders,-0.12,37.50%,Erik Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024448,27.0,MISSING,12.062853155490274,2010,Commanders,-0.12,37.50%,Will Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020801,31.0,MISSING,0.0,2010,Commanders,-0.12,37.50%,Artis Hicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024583,26.0,MISSING,0.0,2010,Commanders,-0.12,37.50%,Stephon Heyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023454,27.0,MISSING,204.046753827138,2010,Cowboys,0.0,37.50%,Alex Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027049,24.0,MISSING,146.67122621801738,2010,Cowboys,0.0,37.50%,Robert Brewster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020533,31.0,MISSING,128.727258422021,2010,Cowboys,0.0,37.50%,Leonard Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021160,31.0,MISSING,67.39310977920216,2010,Cowboys,0.0,37.50%,Marc Colombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025509,26.0,MISSING,66.05609851368895,2010,Cowboys,0.0,37.50%,Doug Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021385,31.0,MISSING,58.5212567998298,2010,Cowboys,0.0,37.50%,Andre Gurode,C,100.0,1.0,9.0,74.0,80.7,72.6,2.0,8.0,637.0,100.0,100.0,99.1,7.0,11.0,1.0,1073.0,1073.0,0.0,0.0,1073.0,671.0,671.0,0.0,0.0,402.0,0.0,79402.0,MISSING
00-0027778,23.0,MISSING,45.19716284281021,2010,Cowboys,0.0,37.50%,Sam Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022094,30.0,MISSING,31.05328120343388,2010,Cowboys,0.0,37.50%,Montrae Holland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021348,31.0,MISSING,3.1029532180023587,2010,Cowboys,0.0,37.50%,Kyle Kosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027417,23.0,MISSING,0.0,2010,Cowboys,0.0,37.50%,Phil Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026839,24.0,MISSING,0.0,2010,Cowboys,0.0,37.50%,Jermey Parnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025820,25.0,MISSING,818.7307530779818,2010,Dolphins,-0.07,43.80%,Jake Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027678,24.0,MISSING,166.71698994168725,2010,Dolphins,-0.07,43.80%,John Jerry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022890,29.0,MISSING,151.16155310610085,2010,Dolphins,-0.07,43.80%,Vernon Carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023516,27.0,MISSING,74.48597754206554,2010,Dolphins,-0.07,43.80%,Richie Incognito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025506,26.0,MISSING,68.59975850726437,2010,Dolphins,-0.07,43.80%,Allen Barbre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023553,29.0,MISSING,45.98379328062319,2010,Dolphins,-0.07,43.80%,Eric Ghiaciuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024425,27.0,MISSING,17.997471238591164,2010,Dolphins,-0.07,43.80%,Pat McQuistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027148,24.0,MISSING,17.493600479341683,2010,Dolphins,-0.07,43.80%,Lydon Murtha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023639,28.0,MISSING,14.219983204570545,2010,Dolphins,-0.07,43.80%,Joe Berger,C,100.0,0.0,17.0,72.2,73.6,70.6,3.0,11.0,549.0,100.0,100.0,98.4,2.0,16.0,2.0,959.0,959.0,0.0,0.0,959.0,573.0,573.0,0.0,0.0,386.0,0.0,69239.8,MISSING
