,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
68,Chris Canty,NYG,DI,611,2349,16,3,4,0,0,21,0,0,72.1,86.4,68.3,69.5,62.7,4,16,10.0,3,0,79.2,1,611,27,526,0,58,20,24,1,21,Giants,2010,44053.1,
69,Ronald Fields,DEN,DI,298,2354,16,6,0,0,0,10,0,0,54.7,59.6,58.5,54.8,64.2,1,4,5.6,1,2,0.0,0,298,229,57,0,12,8,11,0,5,Broncos,2010,16300.6,
70,Anthony Bryant,WAS,DI,165,2395,6,2,0,0,0,32,0,0,60.6,80.1,53.6,64.1,74.2,0,1,0.0,0,0,0.0,0,165,160,5,0,0,3,4,0,1,Commanders,2010,9999.0,
71,Jovan Haye,TEN,DI,470,2406,14,2,1,1,0,31,0,0,46.3,46.3,53.3,48.7,62.3,2,4,3.6,1,3,0.0,0,470,30,400,0,39,16,25,2,6,Titans,2010,21761.0,
72,C.J. Mosley,JAX,DI,56,2408,8,0,0,0,0,15,0,0,43.4,78.3,54.2,44.4,67.3,0,0,50.0,1,0,0.0,0,56,0,56,0,0,0,1,0,0,Jaguars,2010,2430.4,
73,Kevin Vickerson,DEN,DI,432,2433,15,6,1,0,1,10,0,0,53.2,47.7,51.6,53.9,79.7,1,7,8.1,3,2,0.0,2,432,21,19,0,389,22,28,2,10,Broncos,2010,22982.4,
74,Jay Ratliff,DAL,DI,720,2441,16,4,2,0,1,9,2,0,63.2,65.1,79.8,43.3,79.4,4,26,11.1,3,3,79.2,4,720,481,190,0,49,16,20,0,34,Cowboys,2010,45504.0,
75,Derreck Robinson,CLV,DI,208,2762,14,5,0,0,0,8,0,0,55.6,49.5,53.8,60.0,76.6,2,3,0.0,0,1,0.0,0,208,23,12,0,172,9,14,0,5,Browns,2010,11564.800000000001,
76,Mike Wright,NE,DI,314,2854,10,1,1,0,0,19,0,0,59.7,60.5,72.8,37.2,60.2,1,20,12.5,1,1,0.0,6,314,101,56,0,157,10,6,1,27,Patriots,2010,18745.8,
77,Haloti Ngata,BLT,DI,891,2957,18,5,6,0,0,3,1,0,79.0,87.9,68.4,77.7,57.4,8,14,10.3,6,1,70.8,7,891,164,378,1,346,47,47,6,29,Ravens,2010,70389.0,
78,Brodrick Bunkley,PHI,DI,344,2959,15,0,1,1,0,24,0,0,60.8,44.7,70.7,54.5,63.2,2,9,13.0,3,2,0.0,0,344,11,331,0,2,16,20,4,11,Eagles,2010,20915.2,
79,Jason Hatcher,DAL,DI,257,3037,13,2,0,0,0,9,1,0,64.2,83.1,71.1,47.7,76.7,2,11,0.0,0,0,79.2,2,257,25,47,0,184,8,10,0,15,Cowboys,2010,16499.4,
80,Gabe Watson,ARZ,DI,142,3052,7,0,0,0,0,1,0,0,45.3,80.0,53.9,44.6,27.1,0,1,25.0,2,0,0.0,0,142,88,29,0,25,5,6,0,1,Cardinals,2010,6432.599999999999,
81,Domata Peko Sr.,CIN,DI,647,3068,16,9,1,0,0,7,0,0,54.0,79.2,58.8,49.6,59.1,2,9,5.1,2,1,70.1,0,647,19,627,0,1,25,28,5,11,Bengals,2010,34938.0,
82,Barry Cofield,NYG,DI,768,3069,16,10,3,0,2,21,1,0,78.9,78.8,71.8,69.0,79.1,10,15,2.2,1,1,135.4,4,768,60,689,0,18,27,34,3,29,Giants,2010,60595.200000000004,
83,Kyle Williams,BUF,DI,897,3079,16,10,1,2,0,4,2,0,85.8,43.3,75.4,83.1,78.1,8,28,6.8,5,5,79.2,6,897,258,525,0,109,50,58,12,42,Bills,2010,76962.59999999999,
84,Kedric Golston,WAS,DI,445,3141,13,8,1,0,0,32,0,0,48.1,83.1,54.1,46.4,66.3,1,9,3.2,1,0,0.0,0,445,86,9,0,349,15,22,0,10,Commanders,2010,21404.5,
85,LeKevin Smith,DEN,DI,10,3151,1,0,0,0,0,10,0,0,37.7,72.0,55.7,44.0,,0,0,,0,0,0.0,0,10,0,5,0,5,0,0,0,0,Broncos,2010,377.0,
86,Fred Evans,MIN,DI,74,3157,8,0,0,0,0,18,0,0,52.5,17.1,52.3,60.3,70.8,0,0,16.7,1,1,0.0,0,74,0,74,0,0,5,5,1,0,Vikings,2010,3885.0,
87,Remi Ayodele,NO,DI,627,3212,17,10,1,0,1,20,0,0,56.0,64.1,55.7,59.5,64.9,1,5,13.9,5,2,0.0,1,627,62,565,0,0,16,21,3,7,Saints,2010,35112.0,
88,Stephen Bowen,DAL,DI,542,3242,16,3,1,0,0,9,0,0,69.2,70.9,65.1,67.2,65.9,4,27,9.5,2,1,0.0,2,542,32,146,0,362,15,16,4,33,Cowboys,2010,37506.4,
89,Tony McDaniel,MIA,DI,492,3423,15,5,4,0,0,17,0,0,67.1,55.2,58.0,70.0,70.7,3,12,6.1,2,2,0.0,3,492,55,194,0,240,23,26,2,18,Dolphins,2010,33013.2,
90,Brandon McKinney,BLT,DI,225,3427,13,4,1,0,0,3,1,0,73.9,82.8,56.1,75.2,47.4,0,3,8.3,1,0,0.0,0,225,16,150,0,59,6,7,0,3,Ravens,2010,16627.5,
91,Jayme Mitchell,CLV,DI,10,3435,2,0,0,0,0,8,0,0,54.2,71.8,62.5,53.6,67.4,0,0,,0,0,0.0,1,10,0,0,0,10,1,0,0,1,Browns,2010,542.0,
92,Amobi Okoye,HST,DI,785,3626,16,5,0,0,0,13,1,0,54.5,30.8,64.9,51.4,33.2,9,20,16.2,6,6,0.0,3,785,82,631,0,68,21,26,6,32,Texans,2010,42782.5,
93,Adam Carriker,WAS,DI,591,3629,16,4,0,0,0,32,1,0,61.6,73.3,56.8,62.2,78.1,0,14,0.0,0,1,0.0,1,591,25,22,0,544,26,29,5,15,Commanders,2010,36405.6,
94,Justin Harrell,GB,DI,2,3632,1,0,0,0,0,12,0,0,73.7,67.1,68.0,60.0,,0,1,,0,0,0.0,0,2,0,0,0,2,0,0,0,1,Packers,2010,147.4,
95,Alan Branch,ARZ,DI,564,3649,16,3,1,0,2,1,0,0,61.7,44.3,62.7,61.8,65.4,4,10,12.9,4,3,0.0,2,564,53,79,0,432,24,24,3,16,Cardinals,2010,34798.8,
96,Jay Alford,OAK,DI,43,3697,4,0,0,0,0,23,0,0,51.5,0.0,59.8,57.7,28.4,0,1,33.3,1,1,0.0,0,43,2,39,0,2,2,2,1,1,Raiders,2010,2214.5,
97,Brandon Mebane,SEA,DI,717,3701,14,8,2,0,0,29,0,0,68.4,87.7,66.7,62.2,69.9,2,25,8.1,3,0,0.0,1,717,65,583,0,69,21,26,7,28,Seahawks,2010,49042.8,
98,Ray McDonald,SF,DI,569,3713,16,2,2,1,0,28,0,0,62.6,19.7,64.5,61.8,64.2,2,31,5.6,1,5,27.1,0,567,121,187,0,213,12,15,3,33,49ers,2010,35619.4,
99,Paul Soliai,MIA,DI,546,3724,16,5,2,0,0,17,1,0,71.7,44.1,67.6,68.4,81.1,2,8,5.3,2,3,0.0,2,546,356,176,0,14,30,31,8,12,Dolphins,2010,39148.200000000004,
100,Marcus Thomas,DEN,DI,523,3737,16,5,1,1,0,10,0,0,61.2,59.4,49.8,68.6,78.6,2,9,0.0,0,2,0.0,1,520,94,11,8,380,23,27,2,12,Broncos,2010,32007.600000000002,
101,Ryan McBean,DEN,DI,445,3748,16,2,0,0,0,10,1,0,41.8,31.0,53.5,41.7,76.3,1,9,15.8,3,3,0.0,0,445,9,12,0,423,8,14,0,10,Broncos,2010,18601.0,
102,Antonio Johnson,IND,DI,308,3768,14,3,0,0,0,14,0,0,59.0,62.4,64.6,56.0,65.7,2,8,7.7,2,1,0.0,0,308,19,288,0,1,15,21,1,10,Colts,2010,18172.0,
103,Clifton Ryan,SL,DI,16,3770,1,0,0,0,0,26,1,0,66.3,73.5,64.4,61.6,,0,1,,0,0,0.0,0,16,0,16,0,0,0,0,0,1,Rams,2010,1060.8,
104,Derek Landri,CAR,DI,785,3782,16,7,1,0,0,5,1,0,53.2,60.2,58.3,53.5,49.2,3,12,7.7,3,3,0.0,2,785,17,765,0,3,26,29,8,17,Panthers,2010,41762.0,
105,Trey Lewis,ATL,DI,29,3801,1,1,0,0,0,2,0,0,26.3,75.6,55.7,26.1,66.8,0,0,0.0,0,0,0.0,0,29,0,29,0,0,0,0,0,0,Falcons,2010,762.7,
106,Matt Toeaina,CHI,DI,676,3803,18,4,2,1,0,6,1,0,59.6,77.4,60.3,55.9,75.9,2,12,8.3,2,1,0.0,2,676,3,668,0,5,14,18,0,16,Bears,2010,40289.6,
107,Jeremy Clark,PHI,DI,58,3907,3,1,0,0,0,24,0,0,50.6,78.5,52.3,52.9,71.1,0,0,0.0,0,0,39.6,0,58,0,42,0,16,3,3,0,0,Eagles,2010,2934.8,
108,Mike Devito,NYJ,DI,684,3928,19,12,1,0,3,22,0,0,74.8,75.4,52.3,83.4,71.4,3,4,7.7,5,1,118.8,0,684,52,320,0,312,39,48,7,7,Jets,2010,51163.2,
109,Ed Johnson,CAR,DI,443,3975,12,5,1,0,0,5,0,0,57.3,86.0,52.9,55.8,45.2,2,1,13.6,3,0,0.0,0,443,25,418,0,0,12,14,2,3,Panthers,2010,25383.899999999998,
110,Louis Leonard,DEN,DI,63,3995,2,1,0,0,0,10,0,0,51.7,78.9,52.9,53.5,69.0,0,0,0.0,0,0,0.0,0,63,0,63,0,0,0,1,0,0,Broncos,2010,3257.1000000000004,
111,Daniel Muir,IND,DI,526,4022,15,6,0,0,0,14,0,0,34.1,46.4,55.1,32.5,56.6,0,4,7.7,3,3,87.5,1,526,18,507,0,1,17,30,3,5,Colts,2010,17936.600000000002,
112,Gary Gibson,SL,DI,589,4232,16,5,2,0,0,26,0,0,60.0,87.2,59.5,57.0,44.6,4,6,10.5,2,0,0.0,1,589,6,580,0,3,10,12,1,11,Rams,2010,35340.0,
