,player,player_id,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Team,Year,weighted_grade,weighted_average_grade
317,Billy Bajema,2466,BLT,TE,-2.0,0,0.0,,0,0,0,,0,0,3,0,,,51.9,76.1,42.2,76.9,30,0,0,35.9,14,39,2,0,59.0,23,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0,14,115,30,Ravens,2012,1557.0,
416,Billy Bajema,2466,BLT,TE,4.5,0,100.0,,0,0,0,0.0,0,1,3,0,68.3,64.0,56.7,75.5,73.8,87.5,14,0,18,43.8,7,16,1,2,56.3,9,6.3,1,104.2,2,0,0.0,0,18,9,4.5,9.0,2.0,7,49,15,Ravens,2013,850.5,
588,Blake Bell,9550,SF,TE,7.6,0,68.2,,0,0,0,6.3,1,5,28,0,66.7,73.3,50.4,49.0,51.0,42.3,99,0,48,10.3,24,234,0,15,84.6,198,51.7,121,94.1,22,0,5.1,12,186,95,6.3,12.4,0.94,24,117,232,49ers,2015,11692.8,
721,Blake Bell,9550,SF,TE,12.5,0,50.0,,0,0,0,33.3,2,2,28,0,28.6,67.0,48.6,74.5,49.7,67.9,38,0,45,8.9,5,56,0,4,85.7,48,32.1,18,88.0,8,0,0.0,0,85,30,7.5,21.3,1.77,5,49,56,49ers,2016,2721.6,
853,Blake Bell,9550,MIN,TE,3.0,0,75.0,0.0,0,1,0,0.0,0,1,18,0,72.1,67.0,55.7,64.8,54.9,56.5,39,0,12,20.3,14,69,0,3,78.3,54,30.4,21,84.4,4,0,7.2,5,19,8,2.7,6.3,0.35,14,77,65,Vikings,2017,3620.5,
950,Blake Bell,9550,JAX,TE,5.7,2,88.9,,0,0,0,0.0,0,3,15,0,76.5,71.1,55.8,79.5,54.3,66.9,85,0,16,10.2,13,127,1,8,85.8,109,22.0,28,97.7,9,0,7.9,10,67,38,4.8,8.4,0.61,13,94,123,Jaguars,2018,6863.4,
1062,Blake Bell,9550,KC,TE,6.8,1,61.5,33.3,1,3,2,27.3,3,3,16,0,28.8,70.1,50.0,66.4,39.4,82.0,173,0,30,37.4,79,211,3,8,59.2,125,3.3,7,74.8,13,0,13.7,29,67,13,1.6,8.4,0.54,79,187,209,Chiefs,2019,10450.0,
1182,Blake Bell,9550,DAL,TE,6.2,1,84.6,100.0,1,1,0,0.0,0,7,9,0,78.7,72.1,63.1,84.2,65.2,69.0,107,0,24,27.7,43,155,0,11,70.3,109,21.3,33,101.9,13,0,9.0,14,110,45,4.1,10.0,1.01,43,203,154,Cowboys,2020,9717.4,
1310,Blake Bell,9550,KC,TE,2.8,0,81.8,100.0,1,1,0,10.0,1,4,16,0,58.5,73.4,72.8,70.6,55.6,89.3,108,0,24,27.3,33,121,1,9,70.2,85,6.6,8,99.6,11,0,4.1,5,87,69,7.7,9.7,1.02,33,196,121,Chiefs,2021,8808.8,
1465,Blake Bell,9550,KC,TE,5.5,0,100.0,,0,0,0,0.0,0,1,16,0,68.3,64.0,61.7,69.3,63.9,84.6,11,0,17,7.7,1,13,0,2,92.3,12,15.4,2,147.9,2,1,0.0,0,20,9,4.5,10.0,1.67,1,18,13,Chiefs,2022,802.1,
1557,Blake Bell,9550,KC,TE,3.2,0,55.6,0.0,0,2,1,16.7,1,1,16,1,45.8,16.0,43.0,46.5,30.6,78.4,91,1,8,16.4,19,116,1,5,76.7,89,13.8,16,58.3,9,1,5.2,6,26,20,4.0,5.2,0.29,19,196,113,Chiefs,2023,4859.0,
905,Blake Jarwin,12320,DAL,TE,8.9,3,77.1,62.5,5,8,0,10.0,3,16,9,0,56.1,76.1,68.8,55.0,67.0,38.2,100,2,39,6.5,17,262,2,27,87.4,229,55.3,145,107.7,35,3,3.1,8,307,113,4.2,11.4,1.34,17,125,253,Cowboys,2018,17406.399999999998,
1025,Blake Jarwin,12320,DAL,TE,10.0,3,72.1,40.0,4,10,0,3.1,1,17,9,1,77.8,27.5,61.4,76.5,66.6,50.2,119,2,42,10.1,24,237,1,31,84.8,201,38.8,92,101.4,43,3,10.5,25,365,157,5.1,11.8,1.82,24,197,236,Cowboys,2019,14490.4,
1224,Blake Jarwin,12320,DAL,TE,12.0,0,100.0,100.0,1,1,0,0.0,0,1,9,0,64.7,61.2,52.0,72.7,60.9,63.2,12,0,12,10.5,2,19,0,1,89.5,17,31.6,6,116.7,1,0,5.3,1,12,0,0.0,12.0,0.71,2,6,19,Cowboys,2020,988.0,
1302,Blake Jarwin,12320,DAL,TE,8.6,1,68.8,66.7,2,3,0,8.3,1,5,9,0,60.2,71.5,59.0,74.5,51.7,50.0,79,1,20,9.5,15,158,1,11,81.6,129,39.2,62,97.9,16,2,10.8,17,96,36,3.3,8.7,0.74,15,116,158,Cowboys,2021,9322.0,
