Year,Team,Net EPA,Offensive EPA per play,EPA/Play,Total EPA,Success Rate,EPA/Pass,EPA/Rush
2024,Colts,-0.06411872932,-0.06,-0.06,-58.22,0.3987,-0.07,-0.04
2024,Panthers,-0.2237786502,-0.06,-0.06,-55.59,0.40990000000000004,-0.1,0.01
2024,Bears,-0.08766408568,-0.08,-0.08,-85.89,0.3953,-0.09,-0.06
2024,Patriots,-0.1598290139,-0.09,-0.09,-92.09,0.41869999999999996,-0.1,-0.07
2024,Cowboys,-0.1874393508,-0.11,-0.11,-122.38,0.40399999999999997,-0.1,-0.12
2024,Giants,-0.1729829461,-0.11,-0.11,-120.48,0.4008,-0.14,-0.07
2024,Titans,-0.1290081858,-0.12,-0.12,-123.97,0.3973,-0.12,-0.11
2024,Raiders,-0.1373166516,-0.14,-0.14,-154.06,0.4,-0.09,-0.24
2024,Browns,-0.1797469028,-0.19,-0.19,-207.91,0.3667,-0.25,-0.07
2025,Patriots,,0.13,0.13,140.69,0.4693,0.29,-0.03
2025,Rams,,0.13,0.13,136.87,0.5046,0.23,-0.01
2025,Bills,,0.12,0.12,132.57,0.4769,0.17,0.08
2025,Packers,,0.1,0.1,101.44,0.4673,0.23,-0.03
2025,Cowboys,,0.08,0.08,94.83,0.4598,0.16,-0.02
2025,Lions,,0.07,0.07,78.79,0.4468,0.17,-0.06
2025,Bears,,0.07,0.07,80.5,0.4524,0.08,0.06
2025,49ers,,0.07,0.07,77.67,0.47409999999999997,0.16,-0.04
2025,Colts,,0.07,0.07,69.55,0.4597,0.06,0.07
2025,Broncos,,0.04,0.04,42.38,0.4341,0.08,-0.02
2025,Chiefs,,0.03,0.03,32.2,0.43729999999999997,0.04,0.02
2025,Jaguars,,0.03,0.03,30.46,0.43729999999999997,0.06,-0.01
2025,Ravens,,0.03,0.03,25.36,0.4374,-0.04,0.08
2025,Steelers,,0.02,0.02,20.22,0.43420000000000003,0.03,0.01
2025,Seahawks,,0.02,0.02,16.57,0.4532,0.11,-0.07
2025,Eagles,,0.01,0.01,12.98,0.4238,0.05,-0.02
2025,Giants,,0.01,0.01,7.44,0.4157,-0.01,0.03
2025,Commanders,,0.0,0.0,-0.01,0.45049999999999996,-0.01,0.01
2025,Bengals,,-0.01,-0.01,-10.46,0.45130000000000003,-0.03,0.02
2025,Buccaneers,,-0.01,-0.01,-11.61,0.4213,-0.02,0.01
2025,Cardinals,,-0.02,-0.02,-17.75,0.4302,0.0,-0.06
2025,Dolphins,,-0.02,-0.02,-16.04,0.41729999999999995,-0.01,-0.03
2025,Texans,,-0.02,-0.02,-19.33,0.409,0.04,-0.09
2025,Falcons,,-0.02,-0.02,-26.02,0.43229999999999996,-0.01,-0.04
2025,Chargers,,-0.04,-0.04,-42.33,0.42469999999999997,-0.06,-0.02
2025,Panthers,,-0.04,-0.04,-44.31,0.4243,-0.05,-0.04
2025,Saints,,-0.09,-0.09,-98.53,0.41490000000000005,-0.08,-0.12
2025,Vikings,,-0.12,-0.12,-116.28,0.4193,-0.19,-0.03
2025,Jets,,-0.13,-0.13,-136.22,0.401,-0.19,-0.07
2025,Titans,,-0.16,-0.16,-162.39,0.3715,-0.22,-0.07
2025,Browns,,-0.19,-0.19,-195.47,0.3447,-0.28,-0.05
2025,Raiders,,-0.21,-0.21,-203.57,0.3734,-0.19,-0.26
