player_id,Year,Team,player,position,age,franchise_id,player_game_count,grades_defense,snap_counts_defense,assists,forced_fumbles,grades_coverage_defense,grades_pass_rush_defense,grades_run_defense,hits,hurries,missed_tackle_rate,sacks,stops,tackles,tackles_for_loss,total_pressures,grades_defense_penalty,grades_tackle,interceptions,pass_break_ups,penalties,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,targets,fumble_recoveries,declined_penalties,missed_tackles,Cap_Space,adjusted_value,Net EPA,Win %,weighted_grade,weighted_average_grade
00-0035680,2024,Jets,Quincy Williams,LB,28.0,22.0,17.0,68.0,1136.0,22.0,4.0,61.0,56.8,74.3,0.0,13.0,12.7,2.0,60.0,88.0,12.0,15.0,82.7,60.8,0.0,3.0,2.0,932.0,1038.0,79.0,483.0,77.0,3.0,0.0,16.0,1.1942051683633517,59.80627177055973,-0.02455557428,29.4,77248.0,
00-0037003,2024,Jets,Chazz Surratt,LB,27.0,22.0,12.0,72.7,137.0,4.0,0.0,76.7,64.9,62.1,1.0,1.0,10.0,0.0,7.0,14.0,3.0,2.0,75.9,71.2,0.0,0.0,0.0,113.0,119.0,13.0,75.0,3.0,0.0,0.0,2.0,0.3856695379796397,115.73170992156206,-0.02455557428,29.4,9959.9,
00-0033539,2021,Jets,Jarrad Davis,LB,26.0,22.0,9.0,28.6,209.0,5.0,0.0,30.0,61.6,28.0,0.0,1.0,17.2,0.0,6.0,19.0,0.0,1.0,78.5,47.4,0.0,0.0,0.0,153.0,166.0,17.0,97.0,17.0,0.0,0.0,5.0,3.0136986301369864,262.2034227517907,-0.211,23.5,5977.400000000001,
00-0031296,2021,Jets,C.J. Mosley,LB,29.0,22.0,16.0,42.0,1098.0,37.0,2.0,50.2,60.1,38.5,0.0,4.0,9.2,2.0,60.0,130.0,2.0,6.0,30.8,70.9,0.0,2.0,4.0,1025.0,1052.0,77.0,463.0,77.0,0.0,0.0,17.0,4.10958904109589,117.96184997270372,-0.211,23.5,46116.0,
00-0035680,2021,Jets,Quincy Williams,LB,25.0,22.0,16.0,44.2,881.0,19.0,3.0,47.9,64.6,41.7,2.0,6.0,12.1,2.0,46.0,83.0,9.0,10.0,62.5,58.3,0.0,3.0,1.0,757.0,825.0,52.0,402.0,59.0,0.0,0.0,14.0,0.4657534246575342,98.60387238939444,-0.211,23.5,38940.2,
00-0035276,2021,Jets,Blake Cashman,LB,25.0,22.0,1.0,29.1,33.0,0.0,0.0,29.4,50.5,54.2,0.0,1.0,33.3,0.0,1.0,2.0,0.0,1.0,74.7,41.1,0.0,0.0,0.0,24.0,26.0,3.0,11.0,5.0,0.0,0.0,1.0,0.5072728767123288,49.153741293134125,-0.211,23.5,960.3,
00-0035549,2021,Jets,Noah Dawkins,LB,24.0,22.0,1.0,68.2,14.0,0.0,0.0,66.1,,61.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,73.6,71.4,0.0,0.0,0.0,10.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0504109589041095,0.0,-0.211,23.5,954.8,
00-0035202,2021,Jets,Del'Shawn Phillips,LB,24.0,22.0,13.0,38.1,161.0,10.0,0.0,42.8,63.6,40.7,0.0,1.0,16.7,1.0,6.0,10.0,1.0,2.0,79.9,44.1,0.0,0.0,0.0,125.0,128.0,7.0,88.0,8.0,1.0,0.0,4.0,0.3799084931506849,0.0,-0.211,23.5,6134.1,
00-0035276,2020,Jets,Blake Cashman,LB,24.0,22.0,1.0,64.6,3.0,0.0,0.0,63.4,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,68.1,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3047452068617558,54.32328539178591,-0.222,12.5,193.8,
00-0032248,2020,Jets,Bryce Hager,LB,28.0,22.0,3.0,30.2,138.0,7.0,0.0,39.2,67.4,28.2,0.0,1.0,18.2,1.0,3.0,11.0,1.0,2.0,76.4,45.5,0.0,1.0,0.0,118.0,131.0,14.0,46.0,12.0,0.0,0.0,4.0,0.2003340060544904,10.445775862682128,-0.222,12.5,4167.599999999999,
