Unnamed: 0_x,season,team,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year,Team,Net EPA,Win %,Unnamed: 0_y,Player,Cap_Space,year
15168.0,2017.0,49ers,Cole Wick,00-0032562,1.0,2016.0,2016.0,MISSING,23.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,15430.0,Cornellius Carradine,1.184505988023952,2017.0
15179.0,2017.0,49ers,DeAndre Carter,00-0031763,2.0,2015.0,2015.0,MISSING,24.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15180.0,2017.0,49ers,DeAndre Smelter,00-0032064,2.0,2015.0,2015.0,49ers,25.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15147.0,2017.0,49ers,JP Flynn,00-0033310,0.0,2017.0,2017.0,MISSING,24.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15091.0,2017.0,49ers,Jarnor Jones,00-0033227,0.0,2017.0,2017.0,MISSING,23.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15129.0,2017.0,49ers,Jayson DiManche,00-0029815,4.0,2013.0,2013.0,MISSING,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15122.0,2017.0,49ers,Kaleb Ramsey,00-0031003,MISSING,MISSING,MISSING,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,2017.0,49ers,-0.04,37.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,15649.0,Kyle Nelson,0.688622754491018,2017.0
15092.0,2017.0,49ers,Lorenzo Jerome,00-0033316,0.0,2017.0,2017.0,MISSING,22.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15155.0,2017.0,49ers,Nick Mullens,00-0033319,0.0,2017.0,2017.0,MISSING,22.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15119.0,2017.0,49ers,Noble Nwachukwu,00-0033321,0.0,2017.0,2017.0,MISSING,22.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15148.0,2017.0,49ers,Pace Murphy,00-0032680,1.0,2016.0,2016.0,MISSING,23.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15105.0,2017.0,49ers,Prince Charles Iworah,00-0032456,1.0,2016.0,2016.0,49ers,24.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,15518.0,Robbie Gould,1.0479041916167664,2017.0
15135.0,2017.0,49ers,Sean Porter,00-0030281,4.0,2013.0,2013.0,Bengals,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15117.0,2017.0,49ers,Sen'Derrick Marks,00-0027038,8.0,2009.0,2009.0,Titans,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15109.0,2017.0,49ers,Tank Carradine,00-0030457,4.0,2013.0,2013.0,49ers,27.0,40.0,0.443,11.1,500.0,149.45,1057.0,184.9503659217073,2017.0,49ers,-0.04,37.50%,,,,
15159.0,2017.0,49ers,Tim Hightower,00-0026289,9.0,2008.0,2008.0,Cardinals,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15152.0,2017.0,49ers,Trent Brown,00-0032071,2.0,2015.0,2015.0,49ers,24.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,16042.0,Trenton Brown,0.3766305389221557,2017.0
15103.0,2017.0,49ers,Trovon Reed,00-0032290,2.0,2015.0,2015.0,MISSING,26.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15160.0,2017.0,49ers,Tyler McCloskey,00-0033318,0.0,2017.0,2017.0,MISSING,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15097.0,2017.0,49ers,Vinnie Sunseri,00-0031072,3.0,2014.0,2014.0,Saints,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15101.0,2017.0,49ers,Will Davis,00-0030519,4.0,2013.0,2013.0,Dolphins,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
15093.0,2017.0,49ers,Zach Franklin,00-0033311,0.0,2017.0,2017.0,MISSING,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2017.0,49ers,-0.04,37.50%,,,,
18107.0,2018.0,49ers,Aaron Burbridge,00-0032441,2.0,2016.0,2016.0,49ers,24.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2018.0,49ers,-0.09,25.00%,,,,
18077.0,2018.0,49ers,Alan Knott,00-0034075,0.0,2018.0,2018.0,MISSING,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2018.0,49ers,-0.09,25.00%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,17990.0,Bradley Pinion,0.4252539503386004,2018.0
18057.0,2018.0,49ers,Cedric Thornton,00-0028424,7.0,2011.0,2011.0,MISSING,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2018.0,49ers,-0.09,25.00%,,,,
18039.0,2018.0,49ers,Chanceller James,00-0033495,1.0,2017.0,2017.0,MISSING,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2018.0,49ers,-0.09,25.00%,,,,
18078.0,2018.0,49ers,Chris Gonzalez,00-0034212,0.0,2018.0,2018.0,MISSING,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2018.0,49ers,-0.09,25.00%,,,,
18059.0,2018.0,49ers,Chris Jones,00-0030106,5.0,2013.0,2013.0,Texans,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2018.0,49ers,-0.09,25.00%,,,,
