,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
95,Jason Fox,DET,T,100.0,0,11,47.6,63.7,36.8,0,1,13,100.0,100.0,96.2,0,1,0,26,0,0,0,26,14,14,0,26,12,0,Lions,2010,1237.6000000000001,
96,D'Anthony Batiste,ARZ,T,100.0,0,1,72.7,79.1,67.9,0,0,8,100.0,100.0,100.0,0,0,0,18,0,0,13,18,8,8,0,0,10,5,Cardinals,2010,1308.6000000000001,
97,Alex Boone,SF,T,100.0,0,28,74.6,80.6,71.7,0,0,8,100.0,100.0,100.0,0,0,0,17,0,0,17,17,8,8,0,0,9,0,49ers,2010,1268.1999999999998,
98,Charles Brown,NO,T,100.0,0,20,61.1,74.9,57.9,0,0,3,100.0,100.0,100.0,0,0,0,9,0,0,7,9,3,3,0,0,6,2,Saints,2010,549.9,
99,Adam Terry,JAX,T,100.0,0,15,45.7,72.9,55.9,0,1,1,100.0,100.0,50.0,1,1,0,9,0,0,9,9,1,1,0,0,8,0,Jaguars,2010,411.3,
100,Ed Wang,BUF,T,100.0,0,4,61.5,76.1,58.8,0,0,5,100.0,100.0,100.0,0,0,0,8,0,8,0,8,5,5,0,0,3,0,Bills,2010,492.0,
101,Will Barker,TB,T,100.0,0,30,61.7,75.2,58.7,0,0,2,100.0,100.0,100.0,0,0,0,6,0,0,6,6,2,2,0,0,4,0,Buccaneers,2010,370.20000000000005,
102,William Robinson,SEA,T,100.0,0,29,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,1,Seahawks,2010,60.0,
103,Kareem McKenzie,NYG,T,100.0,2,21,62.8,53.0,70.9,11,58,800,100.0,100.0,94.6,3,78,9,1372,0,0,0,1372,840,840,0,1371,532,1,Giants,2011,86161.59999999999,73.03113445378153
104,Jermon Bushrod,NO,T,100.0,0,20,77.0,74.8,72.4,11,42,806,100.0,100.0,96.3,6,56,3,1320,0,0,1320,1320,845,845,0,0,475,0,Saints,2011,101640.0,75.70012760527436
105,Matt Light,NE,T,99.9,0,19,79.4,75.6,74.0,9,30,714,99.9,99.9,96.7,5,43,4,1231,0,0,1228,1232,751,752,0,0,480,4,Patriots,2011,97820.8,66.2934916864608
106,Bryant McKinnie,BLT,T,100.0,2,3,73.3,75.8,66.1,9,29,661,100.0,100.0,96.1,7,45,7,1213,0,0,1213,1213,696,696,0,0,517,0,Ravens,2011,88912.9,61.643224932249325
107,Michael Oher,BLT,T,99.8,0,3,70.2,64.8,73.9,7,43,656,99.7,99.7,94.7,11,60,10,1201,0,0,0,1203,690,692,0,1195,511,8,Ravens,2011,84450.6,64.74942468619248
108,Ryan Clady,DEN,T,99.8,3,10,66.7,70.8,58.1,3,34,557,99.6,99.7,95.6,12,43,6,1191,0,0,1172,1193,597,599,0,0,594,21,Broncos,2011,79573.1,70.95662401981015
109,Tyson Clabo,ATL,T,100.0,1,2,77.3,75.3,75.7,10,16,673,100.0,100.0,97.5,8,30,4,1191,0,0,7,1191,724,724,1,1183,467,0,Falcons,2011,92064.3,66.15515151515152
110,Eric Winston,HST,T,100.0,2,13,78.9,72.9,80.1,2,23,558,100.0,100.0,96.5,9,32,7,1185,0,0,0,1185,587,587,0,1185,598,0,Texans,2011,93496.5,74.98119106699751
111,Duane Brown,HST,T,100.0,0,13,83.1,84.7,76.2,4,23,549,100.0,100.0,97.5,3,27,0,1176,0,0,1176,1176,576,576,0,0,600,0,Texans,2011,97725.59999999999,67.22691117984975
112,Orlando Franklin,DEN,T,100.0,1,10,70.5,61.8,74.2,7,31,542,100.0,100.0,95.2,6,45,7,1173,0,0,6,1173,583,583,0,1167,590,0,Broncos,2011,82696.5,70.84361518550475
113,Jeff Backus,DET,T,100.0,4,11,75.6,73.1,73.7,4,39,747,100.0,100.0,96.2,10,50,7,1130,0,0,1130,1130,785,785,0,0,345,0,Lions,2011,85428.0,78.59476236663434
114,Andrew Whitworth,CIN,T,99.8,1,7,81.5,85.2,69.9,3,16,628,99.7,99.7,98.0,8,22,3,1130,0,0,1121,1132,670,672,0,0,460,11,Bengals,2011,92258.0,72.7304872165943
115,Anthony Davis,SF,T,99.9,0,28,68.5,60.1,77.9,5,34,590,100.0,99.8,95.0,8,49,10,1122,0,0,0,1123,619,620,0,1122,503,1,49ers,2011,76925.5,
