,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
113,Brian Orakpo,WAS,ED,933,4936,15,9,1,0,1,32,0,62.5,56.2,76.2,47.8,62.0,6,34,12.2,6,4,8,430,362,689,677,12,28,34,2,48,Commanders,2010,58312.5,
114,Larry English,SD,ED,153,4939,8,1,0,0,0,27,0,64.3,79.5,60.4,62.7,76.1,1,4,0.0,0,0,4,80,63,139,62,77,7,5,0,9,Chargers,2010,9837.9,
115,Robert Ayers,DEN,ED,651,4941,11,4,1,0,1,10,0,61.0,71.9,58.1,65.4,53.2,11,12,10.3,4,1,1,289,296,480,344,132,22,31,4,24,Broncos,2010,39711.0,
116,Clay Matthews,GB,ED,1110,4949,19,6,2,2,3,12,1,74.0,67.1,81.4,47.1,85.3,12,45,8.8,5,3,17,556,402,951,939,11,47,46,8,74,Packers,2010,82140.0,
117,Everette Brown,CAR,ED,509,4966,13,0,0,0,0,5,0,56.0,52.7,56.3,55.4,61.6,2,16,8.7,2,2,4,289,210,505,14,488,17,21,2,22,Panthers,2010,28504.0,
118,Connor Barwin,HST,ED,10,4969,1,0,0,0,0,13,0,63.3,69.8,72.1,57.3,,0,2,,0,0,0,7,2,7,0,7,0,0,0,2,Texans,2010,633.0,
119,Paul Kruger,BLT,ED,240,4980,13,0,3,0,0,3,0,60.4,29.6,64.9,53.8,69.1,3,10,100.0,1,2,1,201,32,240,1,97,1,0,0,14,Ravens,2010,14496.0,
120,Alex Magee,TB,ED,192,4990,10,1,0,0,1,30,0,53.1,80.8,68.1,37.3,74.2,1,7,12.5,1,0,2,115,73,192,0,150,6,6,1,10,Buccaneers,2010,10195.2,
121,Michael Johnson,CIN,ED,666,4993,16,4,4,0,0,7,0,60.8,71.6,57.6,59.4,80.3,5,22,3.0,1,1,3,413,236,651,0,647,23,28,2,30,Bengals,2010,40492.799999999996,
122,Matt Shaughnessy,OAK,ED,628,4994,16,7,0,0,2,23,0,73.5,45.5,69.0,71.9,72.0,3,18,6.1,3,3,8,294,329,628,2,626,36,39,7,29,Raiders,2010,46158.0,
123,Victor Butler,DAL,ED,155,5033,13,1,0,0,1,9,0,86.1,80.8,83.9,65.1,80.7,0,9,0.0,0,0,2,78,58,144,68,76,9,12,0,11,Cowboys,2010,13345.5,
