,season,team,position,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value
171,2010,Bengals,TE,J.P. Foschi,00-0022484,6.0,2004.0,2004.0,,28.0,0,,,,,,0.0
172,2010,Bengals,TE,Daniel Coats,00-0024607,3.0,2007.0,2007.0,,26.0,0,,,,,,0.0
173,2010,Bengals,WR,Jerome Simpson,00-0026186,2.0,2008.0,2008.0,Bengals,24.0,46,0.402,10.2,440.0,127.71,984.0,204.90528094751068
174,2010,Bengals,WR,Jordan Shipley,00-0027687,0.0,2010.0,2010.0,Bengals,24.0,84,0.234,6.4,170.0,51.29,667.0,144.28569982939064
175,2010,Bengals,WR,Andre Caldwell,00-0026237,2.0,2008.0,2008.0,Bengals,25.0,97,0.203,5.5,112.0,38.52,591.0,99.99445185077401
176,2010,Bengals,WR,Chad Johnson,00-0020397,9.0,2001.0,2001.0,Bengals,32.0,36,0.473,11.8,540.0,165.97,1113.0,44.115280708222464
177,2010,Bengals,WR,Terrell Owens,00-0012478,14.0,1996.0,1996.0,49ers,36.0,89,0.221,6.0,145.0,45.94,636.0,4.501369260405076
178,2010,Bengals,WR,Shay Hodge,00-0027617,0.0,2010.0,2010.0,,22.0,0,,,,,,0.0
179,2010,Bengals,WR,Quan Cosby,00-0026716,1.0,2009.0,2009.0,,27.0,0,,,,,,0.0
180,2010,Bills,CB,Leodis McKelvin,00-0026151,2.0,2008.0,2008.0,Bills,24.0,11,0.777,19.3,1250.0,357.62,1737.0,425.0312381121592
