Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,age,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_defense,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
Seahawks,2023,9.812245551601425,1152.6080867792778,-0.04,52.90%,29.0,24.26129426129426,16.50671550671551,7.490842490842491,2.47985347985348,0.0,0.811965811965812,0.9865689865689866,61.02332112332113,75.1086691086691,67.87728937728937,50.791452991452985,43.95518925518926,5.1611721611721615,27.77045177045177,17.330647130647133,7.103785103785103,1.3052503052503053,6.351648351648351,1638.0,337.34065934065933,255.65811965811966,620.7692307692307,614.6923076923077,5.09035409035409,22.24053724053724,26.328449328449327,1.6947496947496947,39.28327228327228,40493.31306471306,0.0
Seahawks,2024,15.302604933437745,1350.5254606873073,-0.01655071719,58.80%,29.0,25.16039051603905,15.07531380753138,7.659228265922827,0.9395629939562994,0.0,0.595072059507206,0.31287773128777313,62.34342166434217,61.6138540213854,65.28344955834496,57.457089725708975,54.9811152764761,9.07531380753138,26.93537889353789,18.694985941893158,4.96931659693166,2.103207810320781,5.145048814504881,2151.0,330.5072059507206,212.74755927475593,562.9265457926546,530.0483496048349,23.15620641562064,15.0278940027894,15.99442119944212,1.4249186424918643,41.15574151557415,36224.87629009763,0.0
Steelers,2010,9.069105691056912,38.64693044054831,0.18,73.70%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steelers,2011,7.68885067497404,329.6116262634739,0.13,70.60%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steelers,2012,5.554618573797678,292.0827033696114,0.05,50.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steelers,2013,6.072527508090614,263.9884011260131,-0.01,50.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steelers,2014,13.00390902255639,1090.8600711212223,0.05,64.70%,25.0,28.088740458015266,14.665553435114504,4.407919847328245,0.49188931297709926,0.49188931297709926,0.44083969465648853,1.1479007633587786,69.86221374045802,60.57399809160305,71.67509541984732,63.0182251908397,72.89346374045802,11.483301526717558,21.775763358778626,8.322757633587786,3.6908396946564888,3.250477099236641,6.205152671755725,2096.0,323.1168893129771,252.79818702290078,621.3735687022901,614.9689885496183,6.404580152671755,28.806774809160306,32.49809160305343,3.809637404580153,39.46421755725191,48804.74856870229,80.01784587652095
Steelers,2015,5.71620254048018,1012.979495500115,0.08,61.10%,25.0,28.028927280032143,17.12093210124548,8.048212133386903,1.719967858577742,0.008838891120932101,0.9803133788670149,0.8967456809963841,64.94728806749698,54.841221374045794,64.88802732020892,60.66122940940137,57.53732422659702,5.484531940538369,23.17838489353154,13.004258738449176,5.235435918039373,3.208919244676577,4.805946163117718,2489.0,309.8923262354359,216.40257131378064,560.0494174367216,557.1120932101245,1.486942547207714,20.56126958617919,25.006026516673362,2.946966653274407,33.46886299718763,40570.38939333065,62.8246184145741
Steelers,2016,14.178116184710504,0.0,0.08,68.40%,25.0,28.984708249496983,14.835814889336016,8.65271629778672,1.173440643863179,0.0,1.7774647887323944,0.20080482897384305,72.11501006036217,77.80301810865191,66.65649899396378,67.03295774647889,78.50736418511067,4.058752515090544,17.96579476861167,4.474124748490946,2.240241448692153,0.6378269617706237,4.566599597585513,2485.0,248.1645875251509,181.6877263581489,444.4639839034205,442.81408450704225,0.6615694164989939,23.437826961770625,31.15814889336016,3.3400402414486923,26.591146881287727,40787.445311871226,61.90801367261678
Steelers,2017,12.985456886227544,1124.6567335803854,0.09,76.50%,25.0,23.405459057071962,15.833250620347394,10.264516129032257,1.2044665012406948,1.2655086848635235,0.40148883374689825,0.4218362282878412,61.68049627791564,54.0272952853598,64.39181141439205,58.5702729528536,39.08461538461538,3.675434243176179,26.272952853598014,20.233399503722087,9.310669975186105,3.2933002481389577,6.147890818858561,2015.0,299.5712158808933,284.2104218362283,624.3305210918114,624.1955334987593,0.0,25.39950372208437,28.797518610421836,4.538461538461538,36.096277915632754,45177.773002481386,0.0
